2023-02-04 08:26:22,859: Fetching Zamorak Stats for Group Size = 5
2023-02-04 08:37:11,755: Total Teams: 642
2023-02-04 08:37:11,755: Total Unique Players: 1086
+--------------+-------+----------------+
|     Name     | Count | Highest Enrage |
|  Sugar Hyp   |   1   |      250       |
|    Sharna    |   1   |      250       |
|   Brrandon   |   1   |      250       |
|   Githoro    |   1   |      250       |
|    Cri m     |   1   |      250       |
| DragonHamm3r |   1   |      250       |
|  foxy racer  |   1   |      250       |
|   Zed Raze   |   1   |      250       |
| Magmortar66  |   1   |      230       |
|  Noo way g   |   1   |      220       |
|   lil spim   |   1   |      210       |
|   Rychiew    |   1   |      210       |
|    lBebi     |   1   |      210       |
|   Hyper v1   |   1   |      200       |
|    Nekiya    |   1   |      200       |
|     nneo     |   1   |      200       |
|  Cardi Brie  |   1   |      200       |
|  Shakerboye  |   1   |      200       |
|    Fysmat    |   1   |      200       |
| lil kreampie |   1   |      200       |
|    Shupa     |   1   |      200       |
|  Livengood   |   1   |      200       |
|  Mack Tiger  |   1   |      200       |
| FAT BullToad |   1   |      200       |
|     aIZ      |   1   |      200       |
|  polar pavu  |   1   |      200       |
|    taleyy    |   1   |      200       |
|     Lilz     |   1   |      200       |
|  Pan Kacper  |   1   |      200       |
